No,Tanggal Laporan,No laporan,Jenis Pesawat,Tanggal Kecelakaan,Lokasi,Sinopsis
63, ,KNKT.12.08.16.04,PA-31-350,24-Aug-12,"Mayang Hill, Bontang
East Kalimantan 
Republic of Indonesia","On 24 August 2012, a Piper Chieftain PA-31-350 aircraft, registered PK-IWH, was being 
operated by PT. Intan Angkasa Airservice to conduct an aerial survey (aero magnetic) flight at 
a survey area located north of Bontang, East Kalimantan. 
There were 4 persons on board; one pilot, one security officer and two surveyors. The flight 
was planned with an altitude of 3,000 feet AMSL en-route and 500 feet AGL while surveying 
the area. The fuel endurance was for 6 hours flight time. 
The aircraft departed from Temindung Airport (WALS), Samarinda at 0751 local time (LT - 
2351 UTC). 
At 0004 UTC, the pilot informed to the Temindung Control Tower controller (Temindung 
Tower) that the aircraft was abeam Tanjung Santan descending from 3,000 feet and 
established contact with Bontang Info officer (Bontang Info). 
At 0005 UTC, the pilot informed the Bontang Info that their altitude was 300 feet and 
estimated over Bontang at 0011 UTC. Bontang info acknowledged this transmission and 
advised the pilot to report when the flight left the Bontang Area. 
At 0010 UTC, the SureTrack (flight following system) stopped receiving data from the 
aircraft. The last recorded information was an aircraft speed of 138 knots, heading 352°, 
latitude 0°8’33” N and longitude 117°12’54” E. 
At 0600 UTC, the engineer of the PK-IWH aircraft asked the Temindung Tower about the 
flight as the fuel endurance had been exceeded. 
The Temindung Tower contacted Bontang Info to get information about the aircraft. After 
receiving the request, Bontang Info tried to contact the pilot twice and there was no reply. 
Bontang Info also contacted the Tanjung Bara Airstrip to request information about the 
aircraft but there was no information. 
At 0730 UTC, the search and rescue team assembled, the team consisted of the Temindung 
Airport Authority, National Search and Rescue, Indonesian Police, Army and Airforce. The 
search operation was conducted via ground and air using three helicopters. 
On 26 August 2012 at 0850 UTC, the aircraft wreckage was located by a ground search team 
on a ridge of Mayang Hill, Bontang at approximately 1,200 feet AMSL at coordinates 
00°12’34.3”N, 117°16’57.3”E, 12 NM from Bontang Aerodrome on bearing of 294°. The 
accident site was within the planned aircraft survey area. 
All occupants were fatally injured and the aircraft was destroyed by impact force and post 
impact fire. 
The investigation found several findings and concluded that this accident is typical of a 
Controlled Flight Into Terrain (CFIT). Low altitude flying in a low visibility environment 
limited the pilot’s sight and increases the probability impact to the terrain. 
Following this investigation PT. Intan Angkasa Airservice have performed several safety 
actions. The NTSC issued several safety recommendations to the Indonesia Directorate 
General of Civil Aviation (DGCA) and PT. Intan Angkasa Airservice. "
64, ,KNKT.12.08.15.04,Cessna 172,5-Aug-12,"Letnan Kolonel Wisnu Airport, 
Buleleng, Bali 
Republic of Indonesia","On 5 Agustus 2012, a Cessna 172 aircraft registration PK-ROI operated by PT Bali 
International Flight Academy (BIFA) was performing mutual flight training on a cross 
country flight which from Letnan Kolonel Wisnu Airport - Blimbingsari Airport and return 
to Letnan Kolonel Wisnu Airport. 
At 05.50 UTC the aircraft departed Blimbingsari Airport to Letnan Kolonel Wisnu Airport. At 
Labuan point, the aircraft descend to 1000 feet to join right downwind runway 32. 
At altitude 500 feet the aircraft was at configuration of flap 30, airspeed 65 knot and reduce to 
60 knot on short final. The pilot reduced power to idle. Afterward the pilot felt the aircraft 
sank and impacted to the tree. The pilot attempted to go around and opened the power. The 
aircraft veered to the left and impacted to the ground. 
The first impact mark was found on the top of a tree on short final runway 32 with 
approximate height of 10 meters. Prior to rest at last position, two impact marks found on the 
airport fence and a tree. The aircraft stopped on the left runway 32 about 59 meter from centre 
line of runway. 
The occupants suffered minor injuries. The aircraft substantially damage. There was minor 
damage to a house. 
Both pilots held valid license and medical certificate, and have flight experienced 
approximately 91 flying hours on type. 
The aircraft was airworthy prior to impact. 
The pilot started to put the engine power to idle while on position abeam Honda store was 
accordance to his perception of correct approach procedure. Refer to the fact of the first 
impact position and the sink after power reduction was highly possible that the aircraft speed 
was relatively low on short final. 
The NTSC issued several safety recommendations to address safety issues identified during 
the investigation."
65,19-Feb,KNKT.12.07.18.04,ATR 72-212A,17-Jul-12,"Adisutjipto Airport – Yogyakarta
Republic of Indonesia","On 17 July 2012, an ATR 72-212A (500 version) registered PK-WFK was being operated by 
PT. Wings Abadi Airlines (Wings Air) as scheduled passenger flight from Juanda
International Airport (WARR) Surabaya to Adisutjipto International Airport (WARJ)
Yogyakarta with flight number WON-1843. On board the aircraft were two pilots, two flight 
attendants and 59 passengers. This flight was the second flight of the day. 
At 0020 UTC (0720 LT) the aircraft departed from Juanda and at 0115 UTC, the aircraft 
landed at Adisutjipto after held approximately 20 minutes. The flight form departure until 
landing was uneventful.
At 0117 UTC, the aircraft parked and flight crew shut down the left engine and activated the 
propeller brake on the right engine. After instructed the flight attendant to open the door, few 
seconds later, the NAC 2 OVHT (Engine Nacelles Overheat) warning at Centralized Crew 
Alerting System (CCAS) illuminated and the aural warning activated. The pilot cancelled the 
warning and NAC 2 OVHT warning was extinguished.
After few second, the pilot heard somebody from the outside of the aircraft screamed 
requesting the fire extinguisher and in the cockpit the NAC 2 OVHT warning illuminated 
again followed by the right engine fire warning activated. The pilot pulled the right engine 
fire handle and discharged extinguisher agent of bottle number 1. After 30 seconds, the fire 
warning still illuminated and the pilot discharged extinguisher agent of bottle number 2. 
Afterward, the fire warning extinguished. 
No one injured as a result of this occurrence.
The investigation considers the contribution factors of this accident was the fire initiated from 
the significant amount of accumulated fuel on the engine nacelle floor which then evaporated 
and reached auto ignited condition due to the high temperature in the right engine nacelle.
As result of the investigation, the aircraft operator had performed safety action by updated the 
Engineering Authorization to accommodate the utilizing the special tools as required by the 
manufacture. The Komite Nasional Keselamatan Transportasi (KNKT) consider the safety 
action taken by the aircraft operator was sufficient to prevent similar occurrence in the future. 
Therefore, KNKT is not issue safety recommendations in this report."
66, ,KNKT.12.05.09.04,Sukhoi RRJ-95B,9-May-12,"Mount Salak, West Java Rebublic of Indonesia","On 17 July 2012, an ATR 72-212A (500 version) registered PK-WFK was being operated by 
PT. Wings Abadi Airlines (Wings Air) as scheduled passenger flight from Juanda
International Airport (WARR) Surabaya to Adisutjipto International Airport (WARJ)
Yogyakarta with flight number WON-1843. On board the aircraft were two pilots, two flight 
attendants and 59 passengers. This flight was the second flight of the day. 
At 0020 UTC (0720 LT) the aircraft departed from Juanda and at 0115 UTC, the aircraft 
landed at Adisutjipto after held approximately 20 minutes. The flight form departure until 
landing was uneventful.
At 0117 UTC, the aircraft parked and flight crew shut down the left engine and activated the 
propeller brake on the right engine. After instructed the flight attendant to open the door, few 
seconds later, the NAC 2 OVHT (Engine Nacelles Overheat) warning at Centralized Crew 
Alerting System (CCAS) illuminated and the aural warning activated. The pilot cancelled the 
warning and NAC 2 OVHT warning was extinguished.
After few second, the pilot heard somebody from the outside of the aircraft screamed 
requesting the fire extinguisher and in the cockpit the NAC 2 OVHT warning illuminated 
again followed by the right engine fire warning activated. The pilot pulled the right engine 
fire handle and discharged extinguisher agent of bottle number 1. After 30 seconds, the fire 
warning still illuminated and the pilot discharged extinguisher agent of bottle number 2. 
Afterward, the fire warning extinguished. 
No one injured as a result of this occurrence.
The investigation considers the contribution factors of this accident was the fire initiated from 
the significant amount of accumulated fuel on the engine nacelle floor which then evaporated 
and reached auto ignited condition due to the high temperature in the right engine nacelle.
As result of the investigation, the aircraft operator had performed safety action by updated the 
Engineering Authorization to accommodate the utilizing the special tools as required by the 
manufacture. The Komite Nasional Keselamatan Transportasi (KNKT) consider the safety 
action taken by the aircraft operator was sufficient to prevent similar occurrence in the future. 
Therefore, KNKT is not issue safety recommendations in this report."
67, ,KNKT.12.04.08.04,Pilatus Porter PC-6,25-Apr-12,"Melak Area , East of Kalimantan
East of Kalimantan
Republic of Indonesia","The Pilatus Porter PC-6 aircraft operated by PT. Puji Astuti Aviation (Susi Air) registered 
PK-VVQ on Areal Survey Flight departed from Sepinggan-Balikpapan to Melak Area on 
25 April 2012 at 0440 UTC (Universal Time Coordinate) or 1240 LT. 
There were one pilot and one pasenger on board, the estimate flight endurance was seven 
hours. At 0505 the aircraft reported leaving Balikpapan Approach. 
At 0910 the aircraft was reported to Melak Radio it will be leaving the Survey Area at 
0930, and the aircraft was reportedly lost contact with Melak Radio at 0930. 
At 0922 a text message was sent by the passenger to his employer stating 
“Run out of fuel, landing on road”. 
The Search and Rescue Bureau informed that a distress signal was detected on 1025 at the 
position of 00 25’.02” N 116.02’.48”E, close to the village of Muaritan. 
The aircraft was in airworthy condition prior to departure. During the areal survey flight 
the engine was reported flamed out. 
The lack of fuel transferred from auxiliary tank caused the main tank to run dry and a loss 
of fuel feed to the engine, that caused the engine flame out. 
The aircraft failed to reach a suitable landing area. The horizontal pitch trim was set to the 
nearly full nose-up position and that the flaps were about half extended (16° - 18° versus 
38°). 
On 26 April 2012 at 0130 LT (1730 UTC) the aircraft was found substantially damaged at 
Muaritan – Kecamatan Tabang , Kutai Karta Negara about 50 meters from the local mining 
road. The pilot and the passenger were both fatally injured. 
During the process of investigation PT. ASI Pujiastuti Aviation had issued and 
implemented the corective safety action related to this accident, and the Directorate 
General Civil Aviation eg. Directorate Airworthiness and Aircraft Operation had taken a 
special audit PT. Pujiastuti Aviation through to the organisation; such as maintenance, 
operation and safety departement. "
68, ,KNKT.12.03.06.04,Eurocopter AS 350B3,17-Mar-12,"Mt. Zaagkam, Papua
Republic of Indonesia","On 16 March 2012 at 0702 LT (2202 UTC1) a Eurocopter AS350B3 helicopter registration 
PK-ODA departed from Timika Airport 2 Papua. The helicopter operated by PT. Airfast 
Indonesia was on an unscheduled charter flight by Freeport Indonesia Company. The flight 
was planned from Timika to Utikinagon (helipad) – Mile post (MP) 66 (helipad) – Wanagon 
(helipad) – MP 66 – Timika. 
The helicopter carried four passengers and food supplies to Utikinagon. At Utikinagon the 
helicopter dropped three passengers and food supplies then picked up another three 
passengers. The helicopter flew to MP 66 with four passengers on board. At MP 66 the 
helicopter disembarked three passengers and picked up the food supplies, to be delivered to 
Wanagon. 
At Wanagon the helicopter dropped one passenger and the food supplies and picked up two 
passengers and returned to MP 66. During the flight to MP 66, the pilot received a radio call 
to pick up one passenger from West Gully. West Gully is located approximately on radial 100 
from Wanagon and on the left side of the track to MP 66 which was approximately 180°. The 
pilot flew to West Gully and attempted to land twice but unsuccessful due to poor visibility. 
The pilot then decided to continue to MP 66. 
While approaching MP 66 the pilot could not land due to weather and decided to divert to 
Landville (MP 73). At 23.10 the pilot made radio call to company radio frequency and 
informed his intention to divert to MP 73. This was the last communication with the pilot. 
MP 73 located north east of MP 66 at lower elevation. Normally the ground visibility better 
than MP 66 and at several times diversion flights successfully land at MP 73. There was no 
radio room at MP 73 for the crew to make radio communication other than aircraft radio. 
At 23.17 Kilangin Tower controller received a phone call from Biak Flight Service Station 
(Biak FSS) officer informed that BASARNAS received a ELT (Emergency Locater 
Transmitter) distress signal at coordinate 04 07.9 S 137 04.5 E from PK-ODA at emergency 
radio frequency 121.5 MHz. 
Kilangin Tower controller confirmed the information to the AFE company frequency and 
exploration radio room, and was informed that PK-ODA has landed at MP 73. 
After 30 minutes from the last radio contact, there was no information received from the pilot. 
The MP 66 Manager contacted Wanagon and was informed that the helicopter was not at 
Wanagon. The MP 66 manager instructed a team to go to Landville by land vehicle to check 
the aircraft condition. 
At 02.08 Biak FSS officer reconfirmed the status of ELT distress signal to Kilangin Tower 
controller. Kilangin Tower controller reconfirmed to AFE company frequency and 
 
1 The 24-hour clock used in this report to describe the time of day as specific events occurred, is in Coordinated Universal 
Time (UTC). Local time, Eastern Indonesian Standard Time (WIT) is UTC+9 hours. 
2 Timika Airport, Timika, Papua (TIM/WABP) is referred to as ‘Timika’ in this report. 
vi 
exploration radio room. Exploration radio room officer informed that after the last 
communication at 23.10 there was no further information of the aircraft. AFE radio room 
officer informed that there was no aircraft landed at Landville (MP 73) as informed by the 
team deployed from MP 66. 
The Airfast Operation Base at Timika deployed two helicopters for search operation. The 
search operation was postponed due to bad weather. 
At 2200 on 17 March 2012, the Freeport search team from MP 66 found the helicopter 
position at coordinate 04° 07.34 S 137° 05.40 E at elevation of 8,000 feet. The helicopter was 
destroyed and all occupants were fatally injured. 
On 17 March 2012, the rescue team successfully evacuated the pilot and transferred to MP 66. 
On 19 March 2012 at 0000, the rescue team successfully evacuated the passengers and 
transported to MP 66. 
The evidence of aircraft impact into terrain without any systems malfunction is characteristic 
of a Controlled Flight IntoTerrain (CFIT). 
During the investigation the NTSC issued recommendation to the Directorate General Civil 
Aviation relating training requirements for pilots operating in remote and mountainous 
regions such as Papua."
69, ,KNKT.12.03.04.04,A319-133,6-Mar-12,"Adi Soemarmo International Airport Solo, Central Java Republic of Indonesia","On 6 March 2012, an Airbus A319 aircraft registered 9V-SBH, operated by SilkAir on a 
schedule passenger flight as SLK 112. The aircraft departed from Changi Airport (WSSS), 
Singapore to Adi Soemarmo Airport (WARQ), Solo Indonesia. 
There were 131 persons on board, consisted of two pilots, five cabin crews, and 124 
passengers (120 adult and 4 children). 
The brake assembly number 2 was replaced at the night stop before departed to Solo. 
The aircraft landed at 0158 UTC. During landing roll, the controller observed smoke on the 
left main landing gear and informed to the SLK pilot. The controller communicated in unclear 
English. The communication was assisted by the pilot of another aircraft by translating to and 
from Indonesia and English. 
For five minutes the pilot repeatedly asked Marmo Tower for more information to find out 
whether there was smoke and/or fire. At 0204 UTC, Marmo Tower said to the pilot that there 
was fire and the pilot made decision to conduct passenger emergency evacuation between the 
taxiway Bravo and apron. 
The passengers disembarked using emergency slides and one of the passengers had a minor 
injury. 
The investigation found no evidence that there had been fire. 
The investigation found that the controllers were not eligible to conduct duty as controller. 
Following this investigation the NTSC issued several recommendations to the DGCA and PT 
Angkasa Pura I/ Air Navigation Indonesia to address identified safety issues. "
70, ,KNKT.12.02.02.04,PAC 750 XL,4-Feb-12,"Bilai Airstrip, Papua Republic of Indonesia","On 04 February 2012 a PAC 750 XL aircraft was being operated by Ersa Eastern Aviation 
registered PK-BSA route Nabire to Bilai as un-schedule cargo flight. 
The aircraft performed Pre-flight check at 0540 WIT (2040 UTC) and release signed at 2100 
UTC. It was second flight of the day. 
The aircraft was departed from Nabire at 0006 UTC. The weather on that day was good, wind 
calm, visibility more than 10 km, clear of cloud. 
There were two people on board, one Pilot and one Engineer. During flight, the aircraft 
reported was normal with the altitude 10.000 feet, the weather was clear. While descend was 
normal, and the weather reported was wind calm and visibility more than 10 km, clear of 
cloud. 
The aircraft approach Bilai airstrip using runway 11 at 0042 UTC During approach the 
aircraft was maintaining an altitude of 5,757 feet for about 48 second and then increasing 
engine power about five second to increase the altitude up to 5,764 feet following by a slight 
air speed increased as recorded on the engine trend monitoring data. 
The aircraft the touchdown and landing roll at the altitude of 5,764 feet the engine parameter 
was varied as on the time of recording up to 13.45.13.9 Compressor RPM 92.1% - 74.2%, 
The propeller RPM 1990 - 1418 RPM., torque 34.1- 11.0 PSI., Turbine Temperature 639 - 
516 C, Indicated Air Speed 51 Knots, Pressure altitude 5,764 Feet 
The aircraft landed and experienced bouncing twice during touchdown, the aircraft veered to 
the left until the aircraft hit the hill side even the pilot tried to keep centerline using brake and 
power reverse. The Propeller has twisted and nose gear into the mud. 
The aircraft stopped at zero knot, then the propeller stuck to the ground indicated by the 
propeller RPM zero RPM and the engine Torque increased fro18.6 - 35.2 PSI. It took about 
nine seconds prior the engine shut down. 
There was no one injury in this accident.
The left flap was broken and the left main landing gear moved around 90°, the left upper wing 
skin ripped. 
The last aircraft heading was 038°, at the coordinate S 03°44’080” E 136°51’386”, on the 
elevation about 5764 feet. "
71, ,KNKT.11.12.32.04,Boeing 737-500,26-Dec-11,"Sultan Hasanuddin International Airport
Republic of Indonesia","On 26 December 2011, a Boeing 737-500 aircraft, registered PK-MDT, was being operated 
by PT. Merpati Nusantara Airline on a schedule passenger flight MZ 755 from Sam Ratulangi 
Airport (WAMM) Manado to Sultan Hasanuddin Airport (WAAA), Makassar.
.
There were 64 persons on board; two pilots, four cabin crews and 58 passengers consist of 49 
adults, 6 children and 3 infants.
The aircraft was on radar vector for ILS approach on runway 13, and the pilot had instructed 
to fly the aircraft direct to MKS for ILS runway 03. The weather condition during approach 
was raining with thunderstorm.
At 10.34 UTC the pilot reported to the controller that the aircraft established localizer runway 
13, on position 10 miles from touchdown runway 13. The pilot requested runway 13 for 
landing and it was approved by the Hasanuddin Tower (Aerodrome Control Tower) 
Controller.
At 10.38 UTC the aircraft landed on runway 13. After touchdown the aircraft veered to the 
right side of the runway, hit the taxi sign board and rolled on the shoulder for about 375 
meters then returned to the runway.
The pilot continued taxi and proceeded to parking stand number 7. The passengers 
disembarked normally at the parking stand and no one injured.
At the time of issuing this safety recommendation, the operator had been stopped the 
operation since January 2014. The recommendation is addressed to the DGCA to take the 
benefits from the investigation and this might be used as a lesson learned for the other 
operators, therefore the KNKT recommends that;
The operator should review the un-stabilised approach procedure and to include the un stabilised when crossing the runway threshold and directional control after touchdown. 
The references for the lesson learned;
FCTM page 5.5 describes a criteria of when aircraft cross the runway
Go-Around after Touchdown FCTM page 5.58
Directional problem during the landing roll FTCM page 6.31."
72, ,KNKT.11.12.31.04,Boeing 737-200,24-Dec-11,"Sultan Mahmud Badarudin II Airport, 
Palembang, Sumatera Selatan,
 Republic of Indonesia","On 24 December 2011, a Boeing 737-200 aircraft, registered PK-CJD, was being operated by 
PT. Sriwijaya Air on a schedule passenger flight SJ 041 from Sultan Syarif Kasim II Airport 
(WIBB) Pekanbaru to Soekarno Hatta international Airport (WIII), Jakarta. 
There were 134 persons on board consisted; two pilots, four cabin crews and 128 passengers 
114 adult, 4 child and 7 infant. 
On 2000 feet after take-off from Pekanbaru, pilot observed that the hydraulic quantity System 
A was decreasing. The flap indicator pointed between UP and 1 degree and it was observed 
also that the Trailing Edge Flap Light indicator on AFT Overhead Panel shows green that 
mean the entire trailing edge flap was still not up position. On 5000 feet, pilot observed that 
the hydraulic System A totally loss. On FL250, pilot observed that the hydraulic quantity of 
System B also decreasing followed by autopilot disengage and pilot decided to divert to 
Sultan Machmud Badarudin II (WIPP) of Palembang. 
Initial contact was performed by pilot to APP Palembang on 12:28 UTC. The pilot informed 
that the aircraft had the hydraulic problem and PIC decided divert to Palembang airport. The 
Palembang ATC instructed the pilot to descent from FL250 to 2500 feet for VOR/ DME 
approach. The aircraft holding 4 times to reduce weight to achieved Maximum Landing 
Weight. 
After uneventfully landing, the aircraft was overrun at the stop way of runway 11 at 
coordinate 02° 54’ 09.5” S 104° 42’ 36.4” E. 
The evacuation performed as procedures, crew and passenger were no injured. 
The passenger picked up by airport bus to arrival hall. 
Engineer checked the aircraft and found the Hydraulic Hose of RH MLG up-lock actuator at 
the “Lock Port” position was leak. 
The factors contributed to this serious incident were as follows: 
1. Defective hydraulic hose of RH MLG Actuator at “Lock Port” position was made the 
hydraulic fluid drawn overboard. 
2. The defective hydraulic hose is likely consistent with fatigue mode initiated by fretting 
damage on the wire mesh as a result of vibration. 
3. It likely that loss of hydraulic system A followed by los of system B was due to the 
defective of EHSV P/N 73016 that led the Main Rudder PCU had excessive internal 
leak. 
Prior to issuing this final report, the NTSC has been informed several safety actions taken by 
PT. Sriwijaya. 
Included in this final report, the NTSC has issued several safety recommendations to the PT. 
Sriwijaya Directorate General of Civil Aviation to address the safety issues identified in this 
final report. "
73, ,KNKT.11.12.30.04,Boeing 737-300,20-Dec-11,"Adisutjipto International Airport,Yogyakarta
Republic of Indonesia","On 20 December 2011, a Boeing 737-300 aircraft, registered PK-CKM, was being operated 
by PT. Sriwijaya Air on a schedule passenger flight SJ230 from Soekarno Hatta International 
Airport (WIII) Jakarta to Adisutjipto International Airport (WARJ), Yogyakarta. 
There were 141 persons on board; two pilots, four cabin crews and 135 passengers 
consisted124 adult, 7 children and 4 infant. 
The aircraft departed from Jakarta at 14.00 LT (07.00 UTC), the pilot in command was the 
pilot flying and the co-pilot was the pilot monitoring. At 08.10 UTC the aircraft made holding 
at 8 NM from JOG VOR due to bad weather. After the second holding and the weather was 
deteriorated, the airport authority closed the airport for takeoff and landing. The pilot 
requested divert to Juanda Airport (WARR), Surabaya and landed at 08.40 UTC. 
After refuelling and received the information about weather improvement in Yogyakarta then 
the aircraft departed, at 09.20 UTC, in this sequence of flight the PIC acted as PF, with 137 
persons on board consisted of two pilots, four cabin crews and 131 passengers consisted 120 
adult, 7 children and 4 infant. 
The aircraft was on the fifth sequence from seven aircraft approaching Adisucipto airport 
Yogyakarta. 
Passing JOG VOR it was seen on radar screen that the aircraft speed was read 203 Kts at 2700 
ft. Approach Controller instructed to reduce the speed. 
At about 1200 ft, the pilot had the runway insight and disengaged the autopilot and auto throttle. The pilot made correction to the approach profile by roll up to 25 degrees and rate of 
descend up to 2040 ft per minute. The GPWS warning of ‘pull up’ and sink ‘rate were’ 
activated. Aircraft touched down at speed 156 Kts of 138 Kts target landing speed. 
During landing roll, the auto-brake and spoiler activated automatically. The thrust reverse 
were deployed and the N1 were recorded on the FDR increase and decrease to idle before 
increased to 80% prior to aircraft stop. 
The PIC noticed that the aircraft would not be able to stop in the runway and decided to turn 
the aircraft to the left. The aircraft stopped at 75 meter from the end of runway 09 and 54 
meter on the left side of the centre line. 
Most of the passenger evacuated through left and right forward escape slides. All passengers 
were evacuated safely. The passenger on the stretcher case was evacuated by the airport 
rescue. 
6 passengers reported minor injured while all crew and the remaining passengers were not 
injured. The aircraft suffered major damage on the right main and nose wheel. 
The operator had issued several safety actions following this accident. The NTSC issued 
several safety recommendations to address safety issues identified in this investigation.
"
74, ,KNKT.11.12.29.04,Cessna 172P,19-Dec-11,"Karang Ampel, Cirebon, West Java
Republic of Indonesia","On 19 December 2011, a Cessna 172P aircraft registered as PK-WTF was being operated by 
Wings Flying School on a flight training from Cakrabhuwana Airport (WICD), Cirebon to 
Karang Ampel training area with Visual Flight Rules. On board the aircraft consisted of one 
flight instructor and one student. 
At 1233 LT (0533 UTC), the aircraft departed from Cirebon then flew via Suranengala to 
Karang Ampel area.
At 0545 UTC, the aircraft reached Karang Ampel area and conducted training exercises of 
climbing turn, steep turn, stall recovery, slow flight descend and engine failure exercise. 
During the engine failure exercise, the student pilot performed clearing engine procedure 
several times. At altitude 700 feet, the student pilot made a go around and climbed to intended 
altitude of 1,500 feet for returning to Cirebon. During climbing, the pilots saw that the engine 
power indicated 1,800 rpm, and the pilot felt that the engine was hesitating. The flight 
instructor then took over the aircraft control performed forced landing to coastline area at 
approximately 3 Nm north of checkpoint Suranenggala. 
The aircraft touched down on the muddy surface and flipped. The flight instructor and the 
student evacuated the aircraft and no one injured in this occurrence.
Investigation conducted examination to the engine to determine the cause of the engine 
failure. The engine examination did not find any abnormality. The examination of induction 
system found a piece of rubber at the inside of the throttle chamber of the carburetor with
dimension of 12 cm length and 0.8 cm width that believed originated from the flapper valve 
of the induction box. 
The detachment of the rubber presumably due to repeated bending action against the box wall 
at “CLOSE” position caused fatigue to the rubber.
The presence of the rubber in the throttle chamber interrupted the supply of fuel air mixture to 
the piston chamber and resulted in the improper combustion. The improper combustion was 
identified by the pilot as the engine hesitation.
Prior to this publishing of this report, the operator has stopped the training operation.
Following this accident, the Komite Nasional Keselamatan Transportasi (KNKT) had been 
informed safety actions taken by the Wings Flying School and the KNKT acknowledges the 
safety actions. However, there still remain safety issues that need to be considered and 
therefore, the KNKT issues safety recommendations addressed to the Directorate General of 
Civil Aviation."
75, ,KNKT.11.12.27.04,Xi An MA60,12-Dec-11,"M. Salahuddin Airport, Bima, 
Nusa Tenggara Barat
Republic of Indonesia","On 12 December 2011, a Xi’ An MA60 aircraft registered PK-MZG was being operated by 
PT. Merpati Nusantara Airline as a scheduled passenger flight. The aircraft was scheduled for 
a series of flight: DPS-BMU-DPS-AMI-DPS. The second sector was from Muhammad 
Salahuddin Airport, Bima (BMU/WADB), Nusa Tenggara Barat to Ngurah Rai Airport, 
Denpasar (DPS/WADD), Bali using flight number MZ 623. 
The flight took-off from BMU at 02.38 UTC. While climbing passed 6000ft altitude, left 
engine fire warning activated. 
The flight crew performed actions to feather the propeller 1 minute 16 second after the 
warning and followed by discharging fire extinguisher bottle. 
The pilots decided to return to Bima and landed safely at 0350, no one injured in this incident. 
The fire was triggered by the fuel leak on the fitting of the fuel flow transmitter which was 
found loose. The integration of the engine on the aircraft was performed by the aircraft 
manufacturer and the fuel flow transmitter has not been removed since. 
Following this investigation the NTSC issued several safety recommendations to the 
Indonesia Directorate General of Civil Aviation, and PT. Merpati Nusantara Airline and the 
Xi’ An Aircraft Industry, China."
76, ,KNKT.11.11.25.04,C208B Cessna Grand Caravan,26-Nov-11,"Bilogai Airstrip, Sugapa 
 Papua 
Republic of Indonesia","On 26 November 2011 a Cessna 208B Grand Caravan aircraft was being operated by PT. ASI 
Pudjiastuti Aviation (Susi Air) registered PK-VVG, the flight route was Nabire to Bilogai as 
an unscheduled cargo flight. There were two pilots on board and the freight load was a 
mixture of food, palm oil, and cement. 
The aircraft departed from Nabire at 2355 UTC (0855 LT), the estimate time of arrival of 
Bilogai was 0045 UTC. 
At 0042 UTC the aircraft was reported above touchdown zone and the altitude recorded of 
6,960 feet, direction 277 degrees and air speed 94 knots. The aircraft executed a go around 
due to an unauthorized person entering the shoulder of the runway 27, the aircraft then 
continued to climb and headed left. It was reported while the aircraft initially was climbing 
with the nose up but following lost altitude. During go around manoeuvre the aircraft attitude 
was in high nose up position, caused the angle of attack was too high and beyond a stall 
margins caused the aircraft stall. 
The aircraft bank to the right and crashed on a corn farm at coordinate S 03 44.58 E 137 0.96 
and altitude about 6,550 feet with heading about 260 degrees. The aircraft was destroyed on 
impact with the ground. The captain seriously injured and still on seat in the aircraft wearing 
the shoulder harness. The second in command was fatally injured outside of the aircraft at the 
crashed site. 
The operator of the aircraft has released several safety actions regarding this accident, and the 
NTSC issued safety recommendation to address safety issues identified in this report. 
NTSC recommends that Directorate General of Civil Aviation should assure that unauthorised 
person entering onto active runway in Bilogai/Sugapa Airport was prohibited and prevented 
by any mean or at least a warning signal should be available to alert any people not to enter 
the runway when the aircraft on approach or prior take off. "
